Country,Location,Year,Month,Hour,Datum,Status Mission,Price_launch,Company,Model,Serie,Cargo,Price,Status Rocket,Status,Liftoff Thrust,Stages,Strap-ons,Rocket Height,Fairing Diameter,Fairing Height,Payload to LEO,Payload to GTO,Wiki
New Zealand,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020,6,5,2020-06-13 05:12:00+00:00,Success,7.5 ,Rocket Lab,Electron/Curie,Electron,Don't stop me now!,7.5,StatusActive,Active,162,3,0,17.0,1.2,2.5,0.3,0.0,https://en.wikipedia.org/wiki/Electron_(rocket)
China,"LC-9, Taiyuan Satellite Launch Center, China",2020,6,18,2020-06-10 18:31:00+00:00,Success,30.8 ,CASC,Long March 2C,Long March,Haiyang-1D,30.8,StatusActive,Active,2962,2,0,42.0,,,3.85,1.25,https://en.wikipedia.org/wiki/Long_March_2C
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,6,1,2020-06-04 01:25:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L7,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
China,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020,5,8,2020-05-31 08:53:00+00:00,Success,29.75 ,CASC,Long March 2D,Long March,Gaofen-9-02 & HEAD-4,29.75,StatusActive,Active,2962,2,0,41.06,3.35,10.9,3.5,0.0,https://en.wikipedia.org/wiki/Long_March_2D
USA,"LC-39A, Kennedy Space Center, Florida, USA",2020,5,19,2020-05-30 19:22:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,SpaceX Demo-2,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
China,"Xichang Satellite Launch Center, China",2020,5,20,2020-05-29 20:13:00+00:00,Success,5.3 ,CASC,Long March 11,Long March,XJS-G and XJS-H,5.3,StatusActive,Active,1200,4,0,20.8,2.0,,0.53,0.0,https://en.wikipedia.org/wiki/Long_March_11
USA,"Cosmic Girl, Mojave Air and Space Port, California, USA",2020,5,19,2020-05-25 19:50:00+00:00,Failure,12.0 ,Virgin Orbit,LauncherOne,LauncherOne,Demo Flight,12.0,StatusActive,Active,,2,0,16.0,1.3,,0.5,0.0,https://en.wikipedia.org/wiki/LauncherOne
Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",2020,5,7,2020-05-22 07:31:00+00:00,Success,,VKS RF,Soyuz 2.1b/Fregat-M,Soyuz,Cosmos 2546,,StatusActive,Active,4150,4,4,42.5,3.7,7.7,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2
Japan,"LA-Y2, Tanegashima Space Center, Japan",2020,5,17,2020-05-20 17:31:00+00:00,Success,112.5 ,MHI,H-IIB,H,HTV-9,112.5,StatusRetired,Retired,,2,4,56.6,5.1,15.0,16.5,8.0,https://en.wikipedia.org/wiki/H-IIB
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020,5,13,2020-05-17 13:14:00+00:00,Success,120.0 ,ULA,Atlas V 501,Atlas,OTV-6 (USSF-7),120.0,StatusActive,Active,3826,2,0,62.2,5.4,26.5,8.21,3.78,https://en.wikipedia.org/wiki/Atlas_V
China,"Site 95, Jiuquan Satellite Launch Center, China",2020,5,1,2020-05-12 01:16:00+00:00,Success,,ExPace,Kuaizhou 1A,Kuaizhou,Xingyun-2 01 (Wuhan) & 02,,StatusActive,Active,,3,0,19.4,1.4,4.0,0.3,0.0,https://en.wikipedia.org/wiki/Kuaizhou
China,"LC-101, Wenchang Satellite Launch Center, China",2020,5,10,2020-05-05 10:00:00+00:00,Success,,CASC,Long March 5B,Long March,Test Flight (New Crew Capsule),,StatusActive,Active,10565,2,4,53.66,5.2,20.5,23.0,0.0,https://en.wikipedia.org/wiki/Long_March_5
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,4,1,2020-04-25 01:51:00+00:00,Success,48.5 ,Roscosmos,Soyuz 2.1a,Soyuz,Progress MS-14,48.5,StatusActive,Active,4150,3,4,,3.7,7.7,7.02,0.0,https://en.wikipedia.org/wiki/Soyuz-2
USA,"LC-39A, Kennedy Space Center, Florida, USA",2020,4,19,2020-04-22 19:30:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L6,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
Iran,"Launch Plateform, Shahrud Missile Test Site",2020,4,3,2020-04-22 03:59:00+00:00,Success,,IRGC,Qased,Qased,Noor 1,,StatusActive,Active,255,3,0,18.6,1.0,2.6,0.0,0.0,https://fr.wikipedia.org/wiki/Qased
China,"LC-2, Xichang Satellite Launch Center, China",2020,4,11,2020-04-09 11:46:00+00:00,Failure,29.15 ,CASC,Long March 3B/E,Long March,Nusantara Dua,29.15,StatusActive,Active,5922,3,4,56.3,4.2,9.56,11.5,5.5,https://en.wikipedia.org/wiki/Long_March_3B
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,4,8,2020-04-09 08:05:00+00:00,Success,48.5 ,Roscosmos,Soyuz 2.1a,Soyuz,Soyuz MS-16,48.5,StatusActive,Active,4150,3,4,,3.7,7.7,7.02,0.0,https://en.wikipedia.org/wiki/Soyuz-2
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020,3,20,2020-03-26 20:18:00+00:00,Success,153.0 ,ULA,Atlas V 551,Atlas,AEHF 6,153.0,StatusActive,Active,12269,2,5,62.2,5.4,26.5,18.85,8.9,https://en.wikipedia.org/wiki/Atlas_V
China,"LC-3, Xichang Satellite Launch Center, China",2020,3,3,2020-03-24 03:43:00+00:00,Success,30.8 ,CASC,Long March 2C,Long March,Yaogan-30-06,30.8,StatusActive,Active,2962,2,0,42.0,,,3.85,1.25,https://en.wikipedia.org/wiki/Long_March_2C
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,3,17,2020-03-21 17:06:00+00:00,Success,48.5 ,Arianespace,Soyuz 2.1b/Fregat,Soyuz,OneWeb #3,48.5,StatusActive,Active,4150,4,4,42.5,3.7,7.7,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2
USA,"LC-39A, Kennedy Space Center, Florida, USA",2020,3,12,2020-03-18 12:16:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L5,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",2020,3,18,2020-03-16 18:28:00+00:00,Success,,VKS RF,Soyuz 2.1b/Fregat-M,Soyuz,Cosmos 2545,,StatusActive,Active,4150,4,4,42.5,3.7,7.7,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2
China,"LC-201, Wenchang Satellite Launch Center, China",2020,3,13,2020-03-16 13:34:00+00:00,Failure,,CASC,Long March 7A,Long March,XJY-6,,StatusActive,Active,7200,3,4,,4.2,12.4,0.0,7.0,https://en.wikipedia.org/wiki/Long_March_7
China,"LC-2, Xichang Satellite Launch Center, China",2020,3,11,2020-03-09 11:55:00+00:00,Success,29.15 ,CASC,Long March 3B/E,Long March,Beidou-3 G2,29.15,StatusActive,Active,5922,3,4,56.3,4.2,9.56,11.5,5.5,https://en.wikipedia.org/wiki/Long_March_3B
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,3,4,2020-03-07 04:50:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,CRS-20,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",2020,2,8,2020-02-20 08:24:00+00:00,Success,48.5 ,VKS RF,Soyuz 2.1a/Fregat-M,Soyuz,Meridian-M n†­19L,48.5,StatusActive,Active,4150,4,4,42.5,3.7,7.7,0.0,2.81,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1a
China,"LC-3, Xichang Satellite Launch Center, China",2020,2,21,2020-02-19 21:07:00+00:00,Success,29.75 ,CASC,Long March 2D,Long March,XJS-C to F,29.75,StatusActive,Active,2962,2,0,41.06,3.35,10.9,3.5,0.0,https://en.wikipedia.org/wiki/Long_March_2D
France,"ELA-3, Guiana Space Centre, French Guiana, France",2020,2,22,2020-02-18 22:18:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,JCSAT-17 & GEO-KOMPSAT 2B,200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,2,15,2020-02-17 15:05:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L4,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
USA,"LP-0A, Wallops Flight Facility, Virginia, USA",2020,2,20,2020-02-15 20:21:00+00:00,Success,85.0 ,Northrop,Antares 230+,Antares,CRS NG-13,85.0,StatusActive,Active,3265,2,0,42.5,3.9,9.9,8.0,0.0,https://en.wikipedia.org/wiki/Antares_%28rocket%29#Antares_230+
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020,2,4,2020-02-10 04:03:00+00:00,Success,115.0 ,ULA,Atlas V 411,Atlas,Solar Orbiter,115.0,StatusActive,Active,5515,2,1,58.3,4.2,13.8,12.03,5.95,https://en.wikipedia.org/wiki/Atlas_V
Iran,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2020,2,15,2020-02-09 15:48:00+00:00,Failure,,ISA,Simorgh,Simorgh,Zafar 1,,StatusActive,Active,1300,2,0,27.0,,,0.35,0.0,https://en.wikipedia.org/wiki/Simorgh_(rocket)
Japan,"LA-Y1, Tanegashima Space Center, Japan",2020,2,1,2020-02-09 01:34:00+00:00,Success,90.0 ,MHI,H-IIA 202,H,IGS-Optical 7,90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,2,21,2020-02-06 21:42:00+00:00,Success,48.5 ,Arianespace,Soyuz 2.1b/Fregat,Soyuz,OneWeb #2,48.5,StatusActive,Active,4150,4,4,42.5,3.7,7.7,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2
New Zealand,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020,1,2,2020-01-31 02:56:00+00:00,Success,7.5 ,Rocket Lab,Electron/Curie,Electron,Birds of a Feather / NROL-151,7.5,StatusActive,Active,162,3,0,17.0,1.2,2.5,0.3,0.0,https://en.wikipedia.org/wiki/Electron_(rocket)
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,1,14,2020-01-29 14:06:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L3,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
USA,"LC-39A, Kennedy Space Center, Florida, USA",2020,1,15,2020-01-19 15:30:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Crew Dragon Inflight Abort Test,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
France,"ELA-3, Guiana Space Centre, French Guiana, France",2020,1,21,2020-01-16 21:05:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,Eutelsat Konnect BB4A & GSAT-30,200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
China,"Site 95, Jiuquan Satellite Launch Center, China",2020,1,3,2020-01-16 03:02:00+00:00,Success,,ExPace,Kuaizhou 1A,Kuaizhou,Yinhe-1,,StatusActive,Active,,3,0,19.4,1.4,4.0,0.3,0.0,https://en.wikipedia.org/wiki/Kuaizhou
China,"LC-9, Taiyuan Satellite Launch Center, China",2020,1,2,2020-01-15 02:53:00+00:00,Success,29.75 ,CASC,Long March 2D,Long March,Jilin-1 Wideband 01 & ??uSat-7/8,29.75,StatusActive,Active,2962,2,0,41.06,3.35,10.9,3.5,0.0,https://en.wikipedia.org/wiki/Long_March_2D
China,"LC-2, Xichang Satellite Launch Center, China",2020,1,15,2020-01-07 15:20:00+00:00,Success,29.15 ,CASC,Long March 3B/E,Long March,TJSW-5,29.15,StatusActive,Active,5922,3,4,56.3,4.2,9.56,11.5,5.5,https://en.wikipedia.org/wiki/Long_March_3B
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,1,2,2020-01-07 02:19:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L2,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
China,"LC-101, Wenchang Satellite Launch Center, China",2019,12,12,2019-12-27 12:45:00+00:00,Success,,CASC,Long March 5,Long March,Shijian-20,,StatusActive,Active,10565,3,4,57.0,5.0,,25.0,14.0,https://en.wikipedia.org/wiki/Long_March_5
Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",2019,12,23,2019-12-26 23:11:00+00:00,Success,41.8 ,VKS RF,Rokot/Briz KM,Rokot,"Gonets-M ???24, 25, 26 [block-15] & Blits-M1",41.8,StatusRetired,Retired,,3,0,29.0,,,2.14,0.0,https://en.wikipedia.org/wiki/Rokot
Kazakhstan,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019,12,12,2019-12-24 12:03:00+00:00,Success,65.0 ,Roscosmos,Proton-M/DM-3,Proton,Elektro-L n†­3,65.0,StatusActive,Active,10532,4,0,53.0,4.35,15.26,0.0,6.0,https://en.wikipedia.org/wiki/Proton-M
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2019,12,11,2019-12-20 11:36:00+00:00,Success,,ULA,Atlas V N22,Atlas,Starliner OFT,,StatusActive,Active,7204,2,2,,,,13.0,0.0,https://en.wikipedia.org/wiki/Atlas_V
China,"LC-9, Taiyuan Satellite Launch Center, China",2019,12,3,2019-12-20 03:22:00+00:00,Success,64.68 ,CASC,Long March 4B,Long March,"CBERS-4A, ETRSS-1 & Others",64.68,StatusActive,Active,2971,3,0,44.1,,,4.2,1.5,https://en.wikipedia.org/wiki/Long_March_4B
France,"ELS, Guiana Space Centre, French Guiana, France",2019,12,8,2019-12-18 08:54:00+00:00,Success,,Arianespace,Soyuz ST-A/Fregat-M,Soyuz,"CSG-1, CHEOPS & Others",,StatusActive,Active,4150,4,4,46.2,4.11,11.4,0.0,2.81,https://en.wikipedia.org/wiki/Soyuz-2
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,12,0,2019-12-17 00:10:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,JCSAT-18 / Kacific-1,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
China,"LC-3, Xichang Satellite Launch Center, China",2019,12,7,2019-12-16 07:22:00+00:00,Success,,CASC,Long March 3B/YZ-1,Long March,BeiDou-3 M19 & M20,,StatusActive,Active,5924,4,4,,4.0,9.56,0.0,0.0,https://en.wikipedia.org/wiki/Long_March_3B
USA,"Blue Origin Launch Site, West Texas, Texas, USA",2019,12,17,2019-12-11 17:55:00+00:00,Success,,Blue Origin,New Shepard,New,NS-12,,StatusActive,Active,490,2,0,18.0,,,0.0,0.0,https://en.wikipedia.org/wiki/New_Shepard
India,"First Launch Pad, Satish Dhawan Space Centre, India",2019,12,9,2019-12-11 09:55:00+00:00,Success,21.0 ,ISRO,PSLV-QL,PSLV,RISAT 2BR1,21.0,StatusActive,Active,7661,4,4,44.0,3.2,8.3,0.0,0.0,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants
Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",2019,12,8,2019-12-11 08:54:00+00:00,Success,48.5 ,VKS RF,Soyuz 2.1b/Fregat,Soyuz,Cosmos 2544,48.5,StatusActive,Active,4150,4,4,42.5,3.7,7.7,0.0,3.25,https://en.wikipedia.org/wiki/Soyuz-2
China,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2019,12,8,2019-12-07 08:52:00+00:00,Success,,ExPace,Kuaizhou 1A,Kuaizhou,HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,,StatusActive,Active,,3,0,19.4,1.4,4.0,0.3,0.0,https://en.wikipedia.org/wiki/Kuaizhou
China,"Taiyuan Satellite Launch Center, China",2019,12,2,2019-12-07 02:55:00+00:00,Success,,ExPace,Kuaizhou 1A,Kuaizhou,Jilin-1 Gaofen-02B,,StatusActive,Active,,3,0,19.4,1.4,4.0,0.3,0.0,https://en.wikipedia.org/wiki/Kuaizhou
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019,12,9,2019-12-06 09:34:00+00:00,Success,48.5 ,Roscosmos,Soyuz 2.1a,Soyuz,Progress MS-13 (74P),48.5,StatusActive,Active,4150,3,4,,3.7,7.7,7.02,0.0,https://en.wikipedia.org/wiki/Soyuz-2
New Zealand,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019,12,8,2019-12-06 08:18:00+00:00,Success,7.5 ,Rocket Lab,Electron/Curie,Electron,Running Out Of Fingers,7.5,StatusActive,Active,162,3,0,17.0,1.2,2.5,0.3,0.0,https://en.wikipedia.org/wiki/Electron_(rocket)
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,12,17,2019-12-05 17:29:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,CRS-19,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
China,"LC-9, Taiyuan Satellite Launch Center, China",2019,11,23,2019-11-27 23:52:00+00:00,Success,64.68 ,CASC,Long March 4C,Long March,Gaofen-12,64.68,StatusActive,Active,2971,3,0,45.8,,,4.2,1.5,https://en.wikipedia.org/wiki/Long_March_4C
India,"Second Launch Pad, Satish Dhawan Space Centre, India",2019,11,3,2019-11-27 03:58:00+00:00,Success,31.0 ,ISRO,PSLV-XL,PSLV,Cartosat-3 & Rideshares,31.0,StatusActive,Active,7661,4,6,44.0,3.2,8.3,3.25,1.41,https://en.wikipedia.org/wiki/Polar_Satellite_Launch_Vehicle#Variants
France,"ELA-3, Guiana Space Centre, French Guiana, France",2019,11,21,2019-11-26 21:23:00+00:00,Success,200.0 ,Arianespace,Ariane 5 ECA,Ariane,Inmarsat 5 F5 & TIBA-1,200.0,StatusActive,Active,15120,2,2,53.0,5.4,17.0,21.0,10.5,https://en.wikipedia.org/wiki/Ariane_5
Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",2019,11,17,2019-11-25 17:52:00+00:00,Success,,VKS RF,Soyuz 2.1v/Volga,Soyuz,Cosmos 2542 & 2543,,StatusActive,Active,,4,0,,3.7,7.7,2.85,0.0,https://en.wikipedia.org/wiki/Soyuz-2-1v
China,"LC-3, Xichang Satellite Launch Center, China",2019,11,0,2019-11-23 00:55:00+00:00,Success,,CASC,Long March 3B/YZ-1,Long March,BeiDou-3 M21 & M22,,StatusActive,Active,5924,4,4,,4.0,9.56,0.0,0.0,https://en.wikipedia.org/wiki/Long_March_3B
China,"Site 95, Jiuquan Satellite Launch Center, China",2019,11,10,2019-11-17 10:00:00+00:00,Success,,ExPace,Kuaizhou 1A,Kuaizhou,"KL-Alpha A, KL-Alpha B",,StatusActive,Active,,3,0,19.4,1.4,4.0,0.3,0.0,https://en.wikipedia.org/wiki/Kuaizhou
China,"LC-16, Taiyuan Satellite Launch Center, China",2019,11,6,2019-11-13 06:35:00+00:00,Success,,CASC,Long March 6,Long March,Ningxia-1 (x5),,StatusActive,Active,1188,3,0,29.24,2.6,5.7,1.08,0.0,https://en.wikipedia.org/wiki/Long_March_6
China,"Site 95, Jiuquan Satellite Launch Center, China",2019,11,3,2019-11-13 03:40:00+00:00,Success,,ExPace,Kuaizhou 1A,Kuaizhou,Jilin 1-02A,,StatusActive,Active,,3,0,19.4,1.4,4.0,0.3,0.0,https://en.wikipedia.org/wiki/Kuaizhou
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,11,14,2019-11-11 14:56:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L1,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
